   Num:    Value  Size Type    Bind   Vis      Ndx Name
   271: 00000000     0 FILE    LOCAL  DEFAULT  ABS sscanf.c
     5: 00000000     0 SECTION LOCAL  DEFAULT    5 
     6: 00000000     0 SECTION LOCAL  DEFAULT    6 
     7: 00000000     0 SECTION LOCAL  DEFAULT    7 
     8: 00000000     0 SECTION LOCAL  DEFAULT    8 
     9: 00000000     0 SECTION LOCAL  DEFAULT    9 
    10: 00000000     0 SECTION LOCAL  DEFAULT   10 
    11: 00000000     0 SECTION LOCAL  DEFAULT   11 
    12: 00000000     0 SECTION LOCAL  DEFAULT   12 
    13: 00000000     0 SECTION LOCAL  DEFAULT   13 
    14: 00000000     0 FILE    LOCAL  DEFAULT  ABS malloc.c
    19: 00000000     0 NOTYPE  LOCAL  DEFAULT  ABS __tmp_reg__
    21: 00000000     0 FILE    LOCAL  DEFAULT  ABS 
   232: 00000000     0 FILE    LOCAL  DEFAULT  ABS vfscanf.c
   237: 00000000     0 NOTYPE  LOCAL  DEFAULT  ABS __tmp_reg__
   245: 00000000     0 FILE    LOCAL  DEFAULT  ABS _clear_bss.o
   248: 00000000     0 FILE    LOCAL  DEFAULT  ABS strtol.c
   253: 00000000     0 NOTYPE  LOCAL  DEFAULT  ABS __tmp_reg__
   255: 00000000     0 FILE    LOCAL  DEFAULT  ABS _udivmodsi4.o
   258: 00000000     0 FILE    LOCAL  DEFAULT  ABS _udivmodhi4.o
   261: 00000000     0 FILE    LOCAL  DEFAULT  ABS _divmodsi4.o
   264: 00000000     0 FILE    LOCAL  DEFAULT  ABS sprintf.c
   269: 00000000     0 NOTYPE  LOCAL  DEFAULT  ABS __tmp_reg__
     0: 00000000     0 NOTYPE  LOCAL  DEFAULT  UND 
   276: 00000000     0 NOTYPE  LOCAL  DEFAULT  ABS __tmp_reg__
   278: 00000000     0 FILE    LOCAL  DEFAULT  ABS vfprintf.c
   283: 00000000     0 NOTYPE  LOCAL  DEFAULT  ABS __tmp_reg__
   285: 00000000     0 FILE    LOCAL  DEFAULT  ABS fgetc.c
   290: 00000000     0 NOTYPE  LOCAL  DEFAULT  ABS __tmp_reg__
   292: 00000000     0 FILE    LOCAL  DEFAULT  ABS fputc.c
